Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Author,Review
1,1,64114d13ef7aa875ca3831a5,64114d13ef7aa82d05383172,Tue Aug 30 2022 15:41:05 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:05 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Collin Bean,"Excellent place to go, top tier company always striving to go above and beyond for any customer, highly recommend, the best of the best."
10,10,64114d13ef7aa875ca3831a5,64114d13ef7aa8d9723833af,Tue Aug 30 2022 15:41:05 GMT+0000 (Coordinated Universal Time),Mon Sep 12 2022 16:10:46 GMT+0000 (Coordinated Universal Time),,- Marlee Wilson,"We were completely up a certain creek without so much of anything resembling a paddle and after a short phone call we were told to come on in. My husbands backhoe had burst 2 hydraulic hoses and admittedly, being new to the experience, we were short on answers. Justin answered our call and dealt with us personally. He explained the issue and said he’d get right on it. Assuming it would take a day or so, we were completely surprised when he said “give me 5 minutes”, and even more surprised when it turned to reality. The price was phenomenal and the customer service was literally second to none."
100,100,64114d13ef7aa875ca3831a5,64114d13ef7aa80ad53833e9,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Andy's HotRods and Restoration,Always friendly and willing to help
101,101,64114d13ef7aa875ca3831a5,64114d13ef7aa8060238333e,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Jmob M,Best hose shop in tulsa!
102,102,64114d13ef7aa875ca3831a5,64114d13ef7aa8ea7a38333f,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Joseph Lemasters,Great place to buy stuff from
103,103,64114d13ef7aa875ca3831a5,64114d13ef7aa88698383346,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Bargon Bin Priest,I got all my hose from here. 😃
104,104,64114d13ef7aa875ca3831a5,64114d13ef7aa84bc9383340,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Devin Harp,these guys dropped what they were doing and helped me out.. and it was 5 o'clock. Thanks 😀
105,105,64114d13ef7aa875ca3831a5,64114d13ef7aa810473833ea,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Kayla Miles,Excellent service and great staff!
106,106,64114d13ef7aa875ca3831a5,64114d13ef7aa8fd323833a5,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Garrett Kirkhart,Great customer services
107,107,64114d13ef7aa875ca3831a5,64114d13ef7aa8fa723833ae,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Lupitas Tires Tulsa oklahoma,A good place to fix all kinds of pressure hoses and hydraulic excellent cerbicio I recommend them to you
11,11,64114d13ef7aa875ca3831a5,64114d13ef7aa859b338316b,Tue Aug 30 2022 15:41:05 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:05 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Eddie Rosales,"I really appreciate how American Hose and Supply opens early to accommodate their customers. They are very knowledgeable and quick on getting you out the door with the right parts. If it takes them a moment to get your parts, just know that they have a SNACK and a DRINK for YOU."
115,115,64114d13ef7aa875ca3831a5,64114d13ef7aa82b4e3833eb,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Blake Spencer,Much good
116,116,64114d13ef7aa875ca3831a5,64114d13ef7aa87768383341,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- IceMan,"Fast, knowledgeable, responsible, and experienced!"
117,117,64114d13ef7aa875ca3831a5,64114d13ef7aa8c2f03833b3,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Kaia Hicks,Super friendly customer service!!
118,118,64114d13ef7aa875ca3831a5,64114d13ef7aa88df4383241,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Matt McKenna,Great response time and service!
119,119,64114d13ef7aa875ca3831a5,64114d13ef7aa866d538336a,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Joshua Brown,Super fast super friendly!
12,12,64114d13ef7aa875ca3831a5,64114d13ef7aa88b1538335d,Tue Aug 30 2022 15:41:05 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:05 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Dale Smithee,Always professional helpful and polite. Have gotten me out of a hard spot several times. Go give wm a try and I promise you won't be disappointed.
120,120,64114d13ef7aa875ca3831a5,64114d13ef7aa8901b38335c,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Brandon Mathews,"Great guys, love the atmosphere."
121,121,64114d13ef7aa875ca3831a5,64114d13ef7aa8214b3833fa,Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:11 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Javier Santiago,Excellent service!
